abandon,放棄,v
abbreviate,縮寫,v
abbreviation,縮寫;省略,n
abdomen,下腹,n
abide,忍受;等候,v
ability,能力;專門技能,n
able,能;有能力的,adj
abnormal,不正常的,adj
aboard,在船(或飛機;車上;上船(或飛機;車,adv
aboard,上(船;飛機;車;在(船;飛機;車上,prep
abolish,廢除;廢止,v
aboriginal,土著的;土著居民的,adj
aboriginal,土著居民;,n
aborigine,土著居民,n
abortion,墮胎,n
abound,大量存在;富足;充滿,v
about,在四周;在附近;大約,adv
about,大約;關於,prep
above,上文的,adj
above,在上面;在上文;更高,adv
above,在…之上,prep
abroad,在國外,adv
abrupt,突然的;意外的,adj
absence,缺席,n
absent,缺席的;不在場的,adj
absent,缺席,v
absentminded,心不在焉的;健忘的,adj
absolute,絕對的;完全的,adj
absorb,吸收(液體;氣體;光;聲等,v
abstract,抽象的,adj
abstraction,抽象,n
absurd,荒謬的;愚蠢的,adj
abundance,豐富;充足,n
abundant,大量的;充足的;,adj
abuse,濫用;虐待,n
abuse,濫用;虐待,v
academic,學術的,adj
academy,學院;大學;研究院,n
accelerate,加快;增長,v
acceleration,加速;促進,n
accent,重音;腔調,n
accept,接受,v
acceptable,可以接受的;令人滿意的,adj
acceptance,接受;領受;(票據等的承兌;認付,n
access,通道;入口;門路,n
access,取出(資料;使用;接近,v
accessible,可(或易接近的;可(或易得到的,adj
accessory,附加的;附屬的,adj
accessory,附件;配件;從犯,n
accident,事故;災禍,n
accidental,偶然的;意外的,adj
accommodate,能容納;能提供...膳宿;給...方便,v
accommodation,適應;方便設施;住處,n
accompany,陪同;伴隨,v
accomplish,完成;實現;達到,v
accomplishment,成就;成績;造詣;實現,n
accord,一致;符合,n
accord,(與...一致;調解,v
accordance,一致;和諧;符合,n
according to,根據;按照,prep
accordingly,照著;相應地;因此,adv
account,帳目;描述,n
account,把...視為;說明,v
accountable,應負責任的;可說明的,adj
accountant,會計師,n
accounting,會計;會計學,n
accumulate,累積;積聚,v
accumulation,累積;積聚,n
accuracy,正確(性;準確(性,n
accurate,準確的,adj
accusation,指控;指責,n
accuse,指控,v
accustom,使習慣於,v
ace,第一流的;突出的,adj
ace,(紙牌A;么點牌;專家;發球得分,n
ache,(持續性地疼痛,n
ache,(持續性地疼痛;渴望,v
achieve,實現,v
achievement,成就,n
acid,酸性的;有酸味的,adj
acid,(化學酸,n
acknowledge,承認,v
acknowledgement,承認;確認;致謝;回音;公證狀,n
acne,粉刺,n
acquaint,使認識;使熟悉,v
acquaintance,相識的人,n
acquire,取得;獲得,v
acquisition,收購;取得,n
acre,英畝,n
across,橫過;寬;在對面;向對面,adv
across,橫越;穿過,prep
act,扮演,v
act,行動,n
action,動作,n
active,活躍的,adj
activist,激進主義份子;行動主義者,n
activity,活動,n
actor,男演員,n
actress,女演員,n
actual,實際的;事實上的,adj
acute,尖銳的;敏銳的;劇烈的,adj
ad,廣告,n
adapt,使適應;使適合,v
adaptation,適應;改寫,n
add,添加,v
addict,入迷的人;有癮的人,n
addict,使沈溺;使成癮,v
addiction,沈溺;上癮,n
addition,加;附加,n
additional,附加的;額外的,adj
address,寫上收件人姓名地址;向...致詞,v
